feature_1,feature_2,feature_3,feature_4,feature_1_2,feature_3_4,class
0.325621634,0.493686966,0.403436768,0.366527508,0.8193086,0.769964276,0
0.063005871,0.300846863,0.123890372,0.454853489,0.363852734,0.57874386,0
0.283583617,0.488333826,0.016325723,0.430351104,0.771917443,0.446676827,0
0.250344556,0.346426106,0.492329127,0.26021778,0.596770662,0.752546907,0
0.311877638,0.034216292,0.28203444,0.477150481,0.346093929,0.75918492,0
0.062221208,0.041398352,0.454733007,0.45759432,0.10361956,0.912327327,0
0.303985824,0.354518105,0.105184999,0.208901677,0.658503928,0.314086676,0
0.020445166,0.227941761,0.340995555,0.353138506,0.248386927,0.694134061,0
0.193529675,0.182223756,0.120984107,0.001917545,0.375753431,0.122901652,0
0.103472036,0.483273567,0.451796442,0.466463779,0.586745603,0.918260221,0
0.004110961,0.288566781,0.071779318,0.37785898,0.292677742,0.449638299,0
0.487060963,0.13392956,0.068620325,0.304723285,0.620990522,0.37334361,0
0.37315075,0.448563273,0.429447415,0.150267168,0.821714023,0.579714583,0
0.014893334,0.445884747,0.433387871,0.011925251,0.460778082,0.445313122,0
0.293800355,0.488961103,0.484224704,0.206664819,0.782761458,0.690889523,0
0.441891273,0.03917097,0.254300248,0.25518753,0.481062243,0.509487778,0
0.104469903,0.472632634,0.42683363,0.020979743,0.577102537,0.447813374,0
0.136586213,0.152476738,0.201645698,0.133638878,0.289062951,0.335284576,0
0.113335656,0.329156466,0.227063995,0.229596682,0.442492122,0.456660677,0
0.115654949,0.344726748,0.081460303,0.153747188,0.460381697,0.235207492,0
0.028481203,0.239170367,0.443464471,0.351358751,0.26765157,0.794823223,0
0.462806293,0.336514978,0.19639864,0.214958328,0.799321271,0.411356967,0
0.468596175,0.124508337,0.398807267,0.150233034,0.593104512,0.549040301,0
0.489258352,0.277959576,0.32018499,0.343520607,0.767217929,0.663705597,0
0.219730326,0.397149313,0.277284093,0.418155789,0.616879639,0.695439882,0
0.04240015,0.33544898,0.487080852,0.078355468,0.37784913,0.56543632,0
0.269643792,0.26522941,0.499996664,0.334018982,0.534873202,0.834015646,0
0.205430591,0.228767981,0.408842354,0.359179088,0.434198572,0.768021442,0
0.087965734,0.306432662,0.382567015,0.339283058,0.394398395,0.721850072,0
0.265787347,0.310380409,0.018893932,0.251001535,0.576167756,0.269895467,0
0.442115815,0.434437442,0.4555679,0.294358395,0.876553257,0.749926295,0
0.394061706,0.137851108,0.390803293,0.417311001,0.531912813,0.808114294,0
0.429663712,0.342707324,0.473523789,0.102398911,0.772371036,0.5759227,0
0.382729407,0.270164251,0.477555988,0.363726363,0.652893658,0.841282351,0
0.028211786,0.426544193,0.190209697,0.039542927,0.454755979,0.229752624,0
0.320525857,0.248065085,0.09846205,0.287080078,0.568590942,0.385542128,0
0.130822301,0.484964922,0.191388596,0.474042261,0.615787223,0.665430857,0
